sno,description,title,author,publishedAt,source,desc_subjectivity,desc_polarity,titl_subjectivity,titl_polarity
43,"In an interview with NBC News, Ivanka Trump says that she believes her father when asked about the women who have accused Donald Trump of sexual misconduct.",Ivanka: 'I believe my father' over accusers,,2018-02-26T15:29:10Z,1,0.8333333333,0.5,0,0
44,President Trump's daughter-in-law will serve as senior adviser to Donald J. Trump for President; Lara Trump discusses her father-in-law's accomplishments in the White House.,Lara Trump on the president's re-election bid,,2018-02-28T03:07:19Z,2,0,0,0,0
45,"Fox News Trump: Without ICE, California would be 'crime nest' Fox News President Donald Trump criticized California's immigration policies during a White House meeting Thursday. (Associated Press). President Trump on Thursday threatened to pull U.S. Immigrati…","Trump: Without ICE, California would be 'crime nest' - Fox News",Bradford Betz,2018-02-23T06:46:31Z,2,0,0,0,0
46,"Fox News Trump motorcade driver detained by Secret Service after gun discovered Fox News President Donald Trump is surrounded by Secret Service in this file photo from Taormina, Sicily, Italy, on May 26, 2017. (REUTERS/Jonathan Ernst). The Secret Service said…",Trump motorcade driver detained by Secret Service after gun discovered - Fox News,Alex Pappas,2018-02-19T18:06:40Z,2,0.7,-0.4,0.7,-0.4
47,CBS News Trump: Dems 'knew' their Russia probe memo was too sensitive for public release Fox News President Trump on Saturday defended his decision to send the Democrats' memo on the Russia probe back for edits -- accusing them of playing politics for submitt…,Trump: Dems 'knew' their Russia probe memo was too sensitive for public release - Fox News,Joseph Weber,2018-02-10T15:20:26Z,2,0.3222222222,0.0333333333,0.4833333333,0.05
48,Former Trump campaign adviser says President Trump needs a fighter in his new National Security Adviser.,Michael Pillsbury: Bolton is quite the insider,,2018-03-23T10:55:17Z,2,0.2272727273,0.0681818182,0,0
49,Fox News Did Carter Page contacts give Obama FBI window into Trump team world? Fox News Former Trump adviser Carter Page says he communicated with members of the Trump campaign after the FBI began spying on him. (Reuters). Former Trump adviser Carter Page ack…,Did Carter Page contacts give Obama FBI window into Trump team world? - Fox News,Alex Pappas,2018-02-13T17:00:19Z,2,0,0,0,0
50,"Fox News FOX NEWS FIRST: Trump takes stock of gun regulations; CPAC 2018 kicks off Wednesday Fox News President Trump urges ban on gun modifiers such as 'bump stocks' in response to last week's school massacre in Parkland, Fla. Democrats are taking heat from …",FOX NEWS FIRST: Trump takes stock of gun regulations; CPAC 2018 kicks off Wednesday - Fox News,Fox News,2018-02-21T09:45:35Z,2,0.3,0.0833333333,0.3333333333,0.25
51,"NBCNews.com Trump wants $1.5T infrastructure spending boost, cuts to red tape Fox News President Trump is calling for Congress to pass a new infrastructure plan in 2018. Here is what we know so far about the Trump administration's potential plan to fix Americ…","Trump wants $1.5T infrastructure spending boost, cuts to red tape - Fox News",Samuel Chamberlain,2018-02-11T22:05:17Z,2,0.5109090909,0.0872727273,0.05,0.1
52,"CNN Trump says military parade would be great for country's spirit CNN Washington (CNN) President Donald Trump says a military parade in Washington could take place on Veterans Day or the Fourth of July, adding that it would be ""something great for the spirit…",Trump says military parade would be great for country's spirit - CNN,"Maegan Vazquez, CNN",2018-02-25T14:49:00Z,1,0.3095238095,0.1285714286,0.3611111111,0.15
53,Fox News Trump endorses recent GOP foe Mitt Romney for Utah Senate Fox News Republican candidate for U.S. Senate and former GOP president nominee was keynote speaker at Lincoln Day Dinner; senior correspondent Adam Housley reports from Los Angeles. President …,Trump endorses recent GOP foe Mitt Romney for Utah Senate - Fox News,Samuel Chamberlain,2018-02-20T03:08:52Z,2,0.125,0,0.25,0
54,Fox News Omarosa asked on 'Celebrity Big Brother' if she had sex with Trump Fox News 'The Greg Gutfeld Show' panel reacts to the former White House aide's comments on the premiere of 'Celebrity Big Brother.' Former aide to President Trump Omarosa Manigault Ne…,Omarosa asked on 'Celebrity Big Brother' if she had sex with Trump - Fox News,Kathleen Joyce,2018-02-17T16:42:31Z,2,0.04,0,0.1,0
55,Fox News Hillary Clinton accuses Trump of 'surrender' over Russian election interference Fox News Which Democrats could challenge President Trump? Editor-at-large for Ballotpedia Scott Rasmussen shares his perspective on 'Fox & Friends First.' Hillary Clinton…,Hillary Clinton accuses Trump of 'surrender' over Russian election interference - Fox News,Alex Pappas,2018-02-28T17:08:44Z,2,0.1666666667,0.125,0,0
56,"Candidate Donald Trump, his son Donald Trump Jr. and others in the Trump Organization received an email in September 2016 offering a decryption key and website address for hacked WikiLeaks documents, according to an email provided to congressional investigato…",Email to Trump Jr. offered WikiLeaks documents,,2018-04-07T22:27:46Z,1,1,0,0,0
57,"The Democratic National Committee is suing the Trump campaign, several top advisers who attended the now-infamous June 2016 meeting in Trump Tower, Russia, WikiLeaks founder Julian Assange, longtime Trump confidant Roger Stone, former Trump campaign chairman …","Democrats file suit alleging Russia, Trump, WikiLeaks conspired to interfere in 2016 campaign","Katelyn Polantz, CNN",2018-04-20T15:46:16Z,1,0.1666666667,0.1666666667,0,0
58,"CNN Macron to put 'bromance' with Trump to the test during US visit CNN Paris (CNN) It was last July that US President Donald Trump laid bare the depth of his feelings for his French counterpart Emmanuel Macron. For Trump, it was not the romantic dinner at th…",Macron to put 'bromance' with Trump to the test during US visit - CNN,"Melissa Bell and James Masters, CNN",2018-04-23T06:56:33Z,1,0.1666666667,0.0125,0,0
59,"President Donald Trump will hire an attorney to join his personal legal team who has alleged the President is being framed by a group of FBI and Justice Department officials, two sources familiar with the matter told CNN.",Trump to hire lawyer who pushed theory DOJ framed Trump,"Gloria Borger and Jeremy Diamond, CNN",2018-03-19T17:44:50Z,1,0.275,0.11875,0,0
60,"Donald Trump Jr. and his wife Vanessa Trump are separating, they announced in a joint statement Thursday.",Donald Trump Jr. and Vanessa Trump are separating,Sophie Tatum,2018-03-15T23:34:35Z,1,0,0,0,0
61,"Earlier this month, President Donald Trump made a bold declaration: ""Probably nobody's been tougher on Russia than Donald Trump.""",Donald Trump's claim to be the toughest president ever on Russia just collapsed,"Analysis by Chris Cillizza, CNN Editor-at-large",2018-04-17T14:56:08Z,1,0.5833333333,0.1666666667,0,0
62,President Trump and first lady Melania Trump attend the State Dinner Reception with French President Emmanuel Macron and Brigitte Macron.,"Presidents Trump, Macron exchange toasts at state dinner",,2018-04-25T01:22:00Z,2,0.1666666667,0.125,0,0
63,Former Trump campaign aide Sam Nunberg told CNN's Jake Tapper that he has no doubt President Trump knew about the meeting with the Russians in Trump tower in 2016.,Nunberg: I think Mueller 'has something' on Trump,,2018-03-05T23:09:16Z,1,0,0,0,0
64,"Fox News Trump met with Clinton's impeachment lawyer to assist in Russia probe: report Fox News President Donald Trump reportedly met last week with Emmet Flood, a lawyer who represented President Bill Clinton during his impeachment proceedings. ((.)) Preside…",Trump met with Clinton's impeachment lawyer to assist in Russia probe: report - Fox News,Amy Lieu,2018-03-11T06:45:01Z,2,0.0666666667,0,0,0
65,"Fox News Trump fires back after Alec Baldwin 'agony' remark Fox News The agony and the agony: President Trump is not a fan of Alec Baldwin's ""Saturday Night Live"" portrayal of him. Anyone wondering what President Donald Trump thinks of Alex Baldwin's impressi…",Trump fires back after Alec Baldwin 'agony' remark - Fox News,Fox News,2018-03-02T11:41:27Z,2,0.25,0.0681818182,0,0
66,"Fox News Florida businessman failed to pay for portraits of Trump and first lady, charity alleges Fox News A Florida businessman is being sued after he failed to pay for paintings of President Trump and first lady Melania Trump. (AP). A charity sued a wealthy…","Florida businessman failed to pay for portraits of Trump and first lady, charity alleges - Fox News",Kathleen Joyce,2018-03-22T15:25:10Z,2,0.3166666667,-0.125,0.3166666667,-0.125
67,"In an exclusive interview with Fox's Catherine Herridge via Skype, Russian lawyer Natalia Veselnitskaya shares new details about her brief June 2016 Trump Tower meeting with the president's son Donald Trump, Jr. and others. Find out why she was in New York Ci…",Russian lawyer at Trump Tower meeting speaks to Fox News,,2018-02-02T17:18:06Z,2,0.3106060606,0.0681818182,0,0
